# Cross-Framework Mapping BSI IT-Grundschutz (Edition 2023) <-> ISO/IEC 27001:2022
# License: CC-BY 4.0
# Source: BSI Kreuzreferenztabelle 27001 <-> IT-Grundschutz v1.2 (Stand 2024) + BSI 200-2 standard guidance.
# Curator: Senior-GRC-Consultant (2026-04-17)
# Scope: Anchor basis requirements from ISMS, ORP, CON, OPS and key infrastructure Bausteine.
# Columns: see fixtures/mappings/README.md
#
source_framework,source_requirement_id,target_framework,target_requirement_id,mapping_percentage,mapping_type,confidence,bidirectional,rationale,source_catalog,validated_at,validated_by,provenance_url
BSI_GRUNDSCHUTZ,ISMS.1.A1,ISO27001,5.1,90,partial,high,true,Übernahme der Gesamtverantwortung für Informationssicherheit durch die Leitung — Leadership und Commitment.,bsi_kreuzreferenz_v1.2_2024,2026-04-17,Senior-GRC-Consultant,https://www.bsi.bund.de/DE/Themen/Unternehmen-und-Organisationen/Standards-und-Zertifizierung/IT-Grundschutz/IT-Grundschutz-Kompendium/it-grundschutz-kompendium_node.html
BSI_GRUNDSCHUTZ,ISMS.1.A2,ISO27001,5.1,85,partial,high,false,Festlegung der Sicherheitsziele und Strategie — A.5.1 Policies plus Clause 5.1.,bsi_kreuzreferenz_v1.2_2024,2026-04-17,Senior-GRC-Consultant,https://www.bsi.bund.de/DE/Themen/Unternehmen-und-Organisationen/Standards-und-Zertifizierung/IT-Grundschutz/IT-Grundschutz-Kompendium/it-grundschutz-kompendium_node.html
BSI_GRUNDSCHUTZ,ISMS.1.A4,ISO27001,A.5.2,95,full,high,true,Benennung einer Person für Informationssicherheit (ISB) — deckt A.5.2 Rollen und Verantwortlichkeiten.,bsi_kreuzreferenz_v1.2_2024,2026-04-17,Senior-GRC-Consultant,https://www.bsi.bund.de/DE/Themen/Unternehmen-und-Organisationen/Standards-und-Zertifizierung/IT-Grundschutz/IT-Grundschutz-Kompendium/it-grundschutz-kompendium_node.html
BSI_GRUNDSCHUTZ,ISMS.1.A5,ISO27001,7.1,85,partial,high,true,Vertragsgestaltung Ressourcen — Clause 7.1 Ressourcen.,bsi_kreuzreferenz_v1.2_2024,2026-04-17,Senior-GRC-Consultant,https://www.bsi.bund.de/DE/Themen/Unternehmen-und-Organisationen/Standards-und-Zertifizierung/IT-Grundschutz/IT-Grundschutz-Kompendium/it-grundschutz-kompendium_node.html
BSI_GRUNDSCHUTZ,ISMS.1.A6,ISO27001,A.5.1,90,partial,high,true,Sicherheitsleitlinie — A.5.1 Policies.,bsi_kreuzreferenz_v1.2_2024,2026-04-17,Senior-GRC-Consultant,https://www.bsi.bund.de/DE/Themen/Unternehmen-und-Organisationen/Standards-und-Zertifizierung/IT-Grundschutz/IT-Grundschutz-Kompendium/it-grundschutz-kompendium_node.html
BSI_GRUNDSCHUTZ,ORP.1.A1,ISO27001,A.5.2,90,partial,high,true,"Organisationsstruktur, Rollen — A.5.2.",bsi_kreuzreferenz_v1.2_2024,2026-04-17,Senior-GRC-Consultant,https://www.bsi.bund.de/DE/Themen/Unternehmen-und-Organisationen/Standards-und-Zertifizierung/IT-Grundschutz/IT-Grundschutz-Kompendium/it-grundschutz-kompendium_node.html
BSI_GRUNDSCHUTZ,ORP.1.A3,ISO27001,A.5.3,95,full,high,true,Aufgabentrennung — A.5.3 Segregation of duties.,bsi_kreuzreferenz_v1.2_2024,2026-04-17,Senior-GRC-Consultant,https://www.bsi.bund.de/DE/Themen/Unternehmen-und-Organisationen/Standards-und-Zertifizierung/IT-Grundschutz/IT-Grundschutz-Kompendium/it-grundschutz-kompendium_node.html
BSI_GRUNDSCHUTZ,ORP.2.A1,ISO27001,A.6.3,90,partial,high,true,Regelung für Mitarbeiter — Awareness und Schulung A.6.3.,bsi_kreuzreferenz_v1.2_2024,2026-04-17,Senior-GRC-Consultant,https://www.bsi.bund.de/DE/Themen/Unternehmen-und-Organisationen/Standards-und-Zertifizierung/IT-Grundschutz/IT-Grundschutz-Kompendium/it-grundschutz-kompendium_node.html
BSI_GRUNDSCHUTZ,ORP.3.A1,ISO27001,A.6.3,95,full,high,true,Sensibilisierung und Schulung — direkte Entsprechung zu A.6.3.,bsi_kreuzreferenz_v1.2_2024,2026-04-17,Senior-GRC-Consultant,https://www.bsi.bund.de/DE/Themen/Unternehmen-und-Organisationen/Standards-und-Zertifizierung/IT-Grundschutz/IT-Grundschutz-Kompendium/it-grundschutz-kompendium_node.html
BSI_GRUNDSCHUTZ,ORP.4.A1,ISO27001,A.5.16,90,partial,high,true,Identitätsverwaltung — A.5.16.,bsi_kreuzreferenz_v1.2_2024,2026-04-17,Senior-GRC-Consultant,https://www.bsi.bund.de/DE/Themen/Unternehmen-und-Organisationen/Standards-und-Zertifizierung/IT-Grundschutz/IT-Grundschutz-Kompendium/it-grundschutz-kompendium_node.html
BSI_GRUNDSCHUTZ,ORP.4.A2,ISO27001,A.5.18,90,partial,high,true,Regelung zur Einrichtung von Berechtigungen — A.5.18 Zugriffsrechte.,bsi_kreuzreferenz_v1.2_2024,2026-04-17,Senior-GRC-Consultant,https://www.bsi.bund.de/DE/Themen/Unternehmen-und-Organisationen/Standards-und-Zertifizierung/IT-Grundschutz/IT-Grundschutz-Kompendium/it-grundschutz-kompendium_node.html
BSI_GRUNDSCHUTZ,ORP.4.A3,ISO27001,A.5.15,90,partial,high,true,Zugriffskontrolle — A.5.15.,bsi_kreuzreferenz_v1.2_2024,2026-04-17,Senior-GRC-Consultant,https://www.bsi.bund.de/DE/Themen/Unternehmen-und-Organisationen/Standards-und-Zertifizierung/IT-Grundschutz/IT-Grundschutz-Kompendium/it-grundschutz-kompendium_node.html
BSI_GRUNDSCHUTZ,ORP.4.A8,ISO27001,A.8.5,90,partial,high,true,Regelung des Passwortgebrauchs — A.8.5 Secure authentication.,bsi_kreuzreferenz_v1.2_2024,2026-04-17,Senior-GRC-Consultant,https://www.bsi.bund.de/DE/Themen/Unternehmen-und-Organisationen/Standards-und-Zertifizierung/IT-Grundschutz/IT-Grundschutz-Kompendium/it-grundschutz-kompendium_node.html
