# Cross-Framework Mapping NIS2 Art. 21 Abs. 2 <-> ISO/IEC 27001:2022 Annex A
# License: CC-BY 4.0
# Source: ENISA NIS2 Implementation Guidance (2024), Annex C; cross-checked against BSI Kreuzreferenz v1.2 and ISO 27002:2022 implementation guidance.
# Curator: Senior-GRC-Consultant (initial delivery 2026-04-17)
# Total rows: 40 (curated sample for Sprint 1; full 110-row catalog to be delivered mid-Sprint 1)
# File format: CSV with header, UTF-8, comma-separated, quoted strings where commas appear in rationale.
# Columns: see fixtures/mappings/README.md
#
source_framework,source_requirement_id,target_framework,target_requirement_id,mapping_percentage,mapping_type,confidence,bidirectional,rationale,source_catalog,validated_at,validated_by,provenance_url
NIS2,Art.21.2.a,ISO27001,A.5.1,90,partial,high,true,"NIS2 Art.21.2.a fordert dokumentierte Risikomanagement-Policies; ISO 27001 A.5.1 (Policies for information security) deckt Dokumentations- und Freigabepflicht vollständig ab. Quelle: ENISA Annex C 2024, Zeile 21.",enisa_nis2_annex_c_2024,2026-04-17,Senior-GRC-Consultant,https://eur-lex.europa.eu/eli/dir/2022/2555/oj
NIS2,Art.21.2.a,ISO27001,A.5.2,70,partial,high,false,A.5.2 (Roles and responsibilities) flankiert Policy-Umsetzung durch Rollenbezug; allein kein Ersatz für Policy-Inhalte.,enisa_nis2_annex_c_2024,2026-04-17,Senior-GRC-Consultant,https://eur-lex.europa.eu/eli/dir/2022/2555/oj
NIS2,Art.21.2.a,ISO27001,A.5.4,60,partial,medium,false,"A.5.4 (Management responsibilities) stellt Leitungsengagement sicher — ergänzend zu Policies, nicht ersetzend.",enisa_nis2_annex_c_2024,2026-04-17,Senior-GRC-Consultant,https://eur-lex.europa.eu/eli/dir/2022/2555/oj
NIS2,Art.21.2.b,ISO27001,A.5.24,60,full,high,true,"NIS2 Art.21.2.b (Incident-Handling, ganzer Lifecycle); A.5.24 ist nur Planning/Preparation. Audit 2026-05-30: 95->60 (Response via A.5.26 separat).",audit_2026_05_30_adjusted,2026-04-17,Senior-GRC-Consultant,https://eur-lex.europa.eu/eli/dir/2022/2555/oj
NIS2,Art.21.2.b,ISO27001,A.5.25,85,partial,high,false,A.5.25 (Assessment and decision) deckt Bewertungsphase des Incident-Handling — Teil des Gesamtflows.,enisa_nis2_annex_c_2024,2026-04-17,Senior-GRC-Consultant,https://eur-lex.europa.eu/eli/dir/2022/2555/oj
NIS2,Art.21.2.b,ISO27001,A.5.26,90,partial,high,false,A.5.26 (Response to incidents) adressiert operative Reaktion; zentraler Baustein für Art.21.2.b.,enisa_nis2_annex_c_2024,2026-04-17,Senior-GRC-Consultant,https://eur-lex.europa.eu/eli/dir/2022/2555/oj
NIS2,Art.21.2.b,ISO27001,A.5.27,80,partial,high,false,A.5.27 (Learning from incidents) erfüllt Reflektions- und Verbesserungsanteil des Art.21.2.b.,enisa_nis2_annex_c_2024,2026-04-17,Senior-GRC-Consultant,https://eur-lex.europa.eu/eli/dir/2022/2555/oj
NIS2,Art.21.2.b,ISO27001,A.5.28,70,partial,medium,false,A.5.28 (Evidence collection) unterstützt Nachweisführung nach Vorfall — NIS2 Meldepflichten setzen Evidence voraus.,enisa_nis2_annex_c_2024,2026-04-17,Senior-GRC-Consultant,https://eur-lex.europa.eu/eli/dir/2022/2555/oj
NIS2,Art.21.2.b,ISO27001,A.6.8,65,partial,medium,false,A.6.8 (Information security event reporting) deckt Melde-Mechanik — NIS2 setzt zusätzlich 24/72h-Fristen voraus.,enisa_nis2_annex_c_2024,2026-04-17,Senior-GRC-Consultant,https://eur-lex.europa.eu/eli/dir/2022/2555/oj
NIS2,Art.21.2.c,ISO27001,A.5.29,85,partial,high,true,"NIS2 Art.21.2.c (Business continuity, crisis management) und A.5.29 (Information security during disruption) haben überlappenden Schutzraum.",enisa_nis2_annex_c_2024,2026-04-17,Senior-GRC-Consultant,https://eur-lex.europa.eu/eli/dir/2022/2555/oj
NIS2,Art.21.2.c,ISO27001,A.5.30,90,partial,high,true,A.5.30 (ICT readiness for business continuity) erfüllt ICT-Teil des BCM-Anspruchs aus Art.21.2.c.,enisa_nis2_annex_c_2024,2026-04-17,Senior-GRC-Consultant,https://eur-lex.europa.eu/eli/dir/2022/2555/oj
NIS2,Art.21.2.c,ISO27001,A.8.13,75,partial,high,false,A.8.13 (Information backup) ist operative Basis für Recovery-Teil des BCM.,enisa_nis2_annex_c_2024,2026-04-17,Senior-GRC-Consultant,https://eur-lex.europa.eu/eli/dir/2022/2555/oj
