# check_setter_nullability.py baseline
# Format: <relative-path>:<line>  <setter>(<note>)
src/Entity/AuditLog.php:211  setCreatedAt(DateTimeImmutable $createdAt (property nullable, setter not))
src/Entity/Consent.php:442  setDocumentedAt(DateTimeImmutable $documentedAt (property nullable, setter not))
src/Entity/Consent.php:587  setCreatedAt(DateTimeImmutable $createdAt (property nullable, setter not))
src/Entity/CorporateGovernance.php:152  setCreatedAt(DateTimeImmutable $createdAt (property nullable, setter not))
src/Entity/CrisisTeam.php:714  setCreatedAt(DateTimeImmutable $createdAt (property nullable, setter not))
src/Entity/CustomReport.php:494  setCreatedAt(DateTimeImmutable $createdAt (property nullable, setter not))
src/Entity/DashboardLayout.php:115  setCreatedAt(DateTimeImmutable $createdAt (property nullable, setter not))
src/Entity/DashboardLayout.php:126  setUpdatedAt(DateTimeImmutable $updatedAt (property nullable, setter not))
src/Entity/DataSubjectRequest.php:549  setDeadlineAt(DateTimeImmutable $deadlineAt (property nullable, setter not))
src/Entity/DataSubjectRequest.php:778  setCreatedAt(DateTimeImmutable $createdAt (property nullable, setter not))
src/Entity/MfaToken.php:305  setEnrolledAt(DateTimeImmutable $enrolledAt (property nullable, setter not))
src/Entity/MfaToken.php:336  setCreatedAt(DateTimeImmutable $createdAt (property nullable, setter not))
src/Entity/Patch.php:542  setCreatedAt(DateTimeImmutable $createdAt (property nullable, setter not))
src/Entity/Permission.php:153  setCreatedAt(DateTimeImmutable $createdAt (property nullable, setter not))
src/Entity/Role.php:129  setCreatedAt(DateTimeImmutable $createdAt (property nullable, setter not))
src/Entity/ScheduledReport.php:360  setCreatedAt(DateTimeImmutable $createdAt (property nullable, setter not))
src/Entity/Tenant.php:610  setCreatedAt(DateTimeImmutable $createdAt (property nullable, setter not))
src/Entity/User.php:487  setCreatedAt(DateTimeImmutable $createdAt (property nullable, setter not))
src/Entity/UserSession.php:166  setCreatedAt(DateTimeImmutable $createdAt (property nullable, setter not))
src/Entity/UserSession.php:177  setLastActivityAt(DateTimeImmutable $lastActivityAt (property nullable, setter not))
src/Entity/Vulnerability.php:560  setCreatedAt(DateTimeImmutable $createdAt (property nullable, setter not))
src/Entity/WizardSession.php:317  setStartedAt(DateTimeImmutable $startedAt (property nullable, setter not))
src/Entity/Workflow.php:158  setCreatedAt(DateTimeImmutable $createdAt (property nullable, setter not))
src/Entity/WorkflowInstance.php:238  setStartedAt(DateTimeImmutable $startedAt (property nullable, setter not))
